🕘️更新时间,#genre#
2026-01-03 07:10:27,http://180.105.201.135:9981/rtp/239.49.8.19:9614

📺央视频道,#genre#
CCTV-1,http://180.105.201.135:9981/rtp/239.49.8.19:9614
CCTV-1,http://144.255.32.146:8288/udp/239.21.1.120:5002
CCTV-1,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1,http://27.191.202.133:19999/rtp/239.254.200.45:8008
CCTV-1,http://111.113.88.146:2000/rtp/239.121.4.113:8636
CCTV-1,http://115.58.216.71:4000/rtp/225.1.4.73:1102
CCTV-1,http://144.255.31.40:6688/udp/239.21.1.120:5002
CCTV-1,http://183.236.43.98:4013/udp/239.77.1.144:5146
CCTV-1,http://115.171.80.52:1688/rtp/225.1.8.33:8002
CCTV-1,http://114.100.195.41:4022/rtp/238.1.78.166:7200
CCTV-2,http://144.255.32.146:8288/udp/239.21.1.151:5002
CCTV-2,http://180.105.201.135:9981/rtp/239.49.8.50:9802
CCTV-2,http://106.83.116.15:8188/rtp/235.254.198.52:1484
CCTV-2,http://114.100.195.41:4022/rtp/238.1.78.235:7752
CCTV-2,http://220.176.218.76:9000/udp/239.252.220.183:5140
CCTV-2,http://27.191.202.133:19999/rtp/239.254.200.158:6000
CCTV-2,http://111.113.88.146:2000/rtp/239.121.4.155:8914
CCTV-2,http://115.58.216.71:4000/rtp/225.1.4.74:1103
CCTV-2,http://106.59.2.153:55555/udp/239.200.200.104:8084
CCTV-2,http://144.255.31.40:6688/udp/239.21.1.151:5002
CCTV-3,http://144.255.32.146:8288/udp/239.21.2.45:5002
CCTV-3,http://113.119.25.53:58888/udp/239.77.0.169:5146
CCTV-3,http://115.58.216.71:4000/rtp/225.1.4.158:1194
CCTV-3,http://106.83.116.15:8188/rtp/235.254.198.53:1488
CCTV-3,http://114.100.195.41:4022/rtp/238.1.78.170:7232
CCTV-3,http://144.255.31.40:6688/udp/239.21.2.45:5002
CCTV-3,http://27.191.202.133:19999/rtp/239.254.201.152:7205
CCTV-3,http://111.113.88.146:2000/rtp/239.121.4.151:8890
CCTV-3,http://115.171.80.52:1688/rtp/225.1.8.88:8000
CCTV-3,http://220.176.218.76:9000/udp/239.252.219.252:5140
CCTV-4,http://115.58.216.71:4000/rtp/225.1.5.30:1333
CCTV-4,http://144.255.32.146:8288/udp/239.21.1.154:5002
